so this is technically from the find-commas script, but it's this:
make find-commas -- --max-n2d3p9 1259 --max-2-3-free-sopfr 127 --max-2-3-free-copfr 9999 --max-prime-limit 127 --upper-bound 56.8425030289c
so the idea was to just try to get basically the top N2D3P9 2,3-free classes up to 1259 (previously went as high as 307)
only constraint being that SoPF>3 of 127...
and this just doing a ton of duplication w/r/t each 2,3-free class, including every comma-sized thing, rather than just the LATE or LAAS comma for each 2,3-free class

sagittal  	name     	2,3-free class name           	pev                                                                                                                          	cents  	apotome slope	limit  	2,3-free SoPFR	N2D3P9
   '/|  	3C       	531441/524288              	[ -19  12 ⟩                                                                                                                    	 23.460	 10.555      	  3    	  0          	  1.000
    /|  	1/5C     	81/80                      	[  -4   4  -1 ⟩                                                                                                                	 21.506	  2.676      	  5    	  5          	  1.389
    '|  	5s       	32805/32768                	[ -15   8   1 ⟩                                                                                                                	  1.954	  7.880      	  5    	  5          	  1.389
     |) 	1/7C     	64/63                      	[   6  -2   0  -1 ⟩                                                                                                            	 27.264	 -3.679      	  7    	  7          	  2.722
   '/|) 	1/7M     	59049/57344                	[ -13  10   0  -1 ⟩                                                                                                            	 50.724	  6.877      	  7    	  7          	  2.722
   ./|  	1/25C    	2048/2025                  	[  11  -4  -2 ⟩                                                                                                                	 19.553	 -5.204      	  5    	 10          	  3.472
   //|  	1/25S    	6561/6400                  	[  -8   8  -2 ⟩                                                                                                                	 43.013	  5.352      	  5    	 10          	  3.472
     |( 	5/7k     	5120/5103                  	[  10  -6   1  -1 ⟩                                                                                                            	  5.758	 -6.355      	  7    	 12          	  4.537
    '|) 	5/7C     	3645/3584                  	[  -9   6   1  -1 ⟩                                                                                                            	 29.218	  4.201      	  7    	 12          	  4.537
   .(|( 	1/11S    	8192/8019                  	[  13  -6   0   0  -1 ⟩                                                                                                        	 36.952	 -8.275      	 11    	 11          	  6.722
        	11C      	180224/177147              	[  14 -11   0   0   1 ⟩                                                                                                        	 29.813	-12.836      	 11    	 11          	  6.722
    /|\ 	11M      	33/32                      	[  -5   1   0   0   1 ⟩                                                                                                        	 53.273	 -2.280      	 11    	 11          	  6.722
    .|) 	1/35C    	2097152/2066715            	[  21 -10  -1  -1 ⟩                                                                                                            	 25.310	-11.558      	  7    	 12          	  6.806
    /|) 	1/35M    	36/35                      	[   2   2  -1  -1 ⟩                                                                                                            	 48.770	 -1.003      	  7    	 12          	  6.806
 `.//|  	35S      	2240/2187                  	[   6  -7   1   1 ⟩                                                                                                            	 41.455	 -9.553      	  7    	 12          	  6.806
        	1/125C   	67108864/66430125          	[  26 -12  -3 ⟩                                                                                                                	 17.599	-13.084      	  5    	 15          	  8.681
  .//|  	1/125S   	128/125                    	[   7   0  -3 ⟩                                                                                                                	 41.059	 -2.528      	  5    	 15          	  8.681
   `/|) 	125M     	250/243                    	[   1  -5   3 ⟩                                                                                                                	 49.166	 -8.027      	  5    	 15          	  8.681
        	1/13S    	262144/255879              	[  18  -9   0   0   0  -1 ⟩                                                                                                    	 41.877	-11.579      	 13    	 13          	  9.389
   ,.|) 	13C      	6656/6561                  	[   9  -8   0   0   0   1 ⟩                                                                                                    	 24.888	 -9.532      	 13    	 13          	  9.389
   ,/|) 	13M      	1053/1024                  	[ -10   4   0   0   0   1 ⟩                                                                                                    	 48.348	  1.023      	 13    	 13          	  9.389
   (/|  	1/49M    	4096/3969                  	[  12  -4   0  -2 ⟩                                                                                                            	 54.528	 -7.357      	  7    	 14          	  9.528
        	49C      	1605632/1594323            	[  15 -13   0   2 ⟩                                                                                                            	 12.237	-13.753      	  7    	 14          	  9.528
    ~|) 	49S      	49/48                      	[  -4  -1   0   2 ⟩                                                                                                            	 35.697	 -3.198      	  7    	 14          	  9.528
   ./|\ 	11/5M    	11264/10935                	[  10  -7  -1   0   1 ⟩                                                                                                        	 51.319	-10.160      	 11    	 16          	 11.204
        	5/11C    	655360/649539              	[  17 -10   1   0  -1 ⟩                                                                                                        	 15.446	-10.951      	 11    	 16          	 11.204
    (|( 	5/11S    	45/44                      	[  -2   2   1   0  -1 ⟩                                                                                                        	 38.906	 -0.396      	 11    	 16          	 11.204
   ,,|~ 	7/25C    	413343/409600              	[ -14  10  -2   1 ⟩                                                                                                            	 15.748	  9.030      	  7    	 17          	 11.343
    '|( 	25/7k    	225/224                    	[  -5   2   2  -1 ⟩                                                                                                            	  7.712	  1.525      	  7    	 17          	 11.343
        	25/7C    	119574225/117440512        	[ -24  14   2  -1 ⟩                                                                                                            	 31.172	 12.081      	  7    	 17          	 11.343
  )//|  	13/5M    	416/405                    	[   5  -4  -1   0   0   1 ⟩                                                                                                    	 46.394	 -6.857      	 13    	 18          	 15.648
 ``//|  	5/13S    	40/39                      	[   3  -1   1   0   0  -1 ⟩                                                                                                    	 43.831	 -3.699      	 13    	 18          	 15.648
    )|( 	7/11k    	896/891                    	[   7  -4   0   1  -1 ⟩                                                                                                        	  9.688	 -4.597      	 11    	 18          	 15.685
    (|  	7/11C    	45927/45056                	[ -12   8   0   1  -1 ⟩                                                                                                        	 33.148	  5.959      	 11    	 18          	 15.685
        	49/5S    	100352/98415               	[  11  -9  -1   2 ⟩                                                                                                            	 33.743	-11.078      	  7    	 19          	 15.880
        	5/49C    	327680/321489              	[  16  -8   1  -2 ⟩                                                                                                            	 33.022	-10.033      	  7    	 19          	 15.880
   )/|\ 	5/49M    	405/392                    	[  -3   4   1  -2 ⟩                                                                                                            	 56.482	  0.522      	  7    	 19          	 15.880
    ~|  	1/17k    	2187/2176                  	[  -7   7   0   0   0   0  -1 ⟩                                                                                                	  8.730	  6.462      	 17    	 17          	 16.056
    ~|( 	17C      	4131/4096                  	[ -12   5   0   0   0   0   1 ⟩                                                                                                	 14.730	  4.093      	 17    	 17          	 16.056
